
3.000000 14.000000     -0.33641
3.000000 15.000000     -0.34558
3.000000 16.000000      -0.3509
3.000000 17.000000     -0.35195
3.000000 18.000000     -0.34834
3.000000 19.000000     -0.33971
3.000000 20.000000     -0.32576
3.000000 21.000000      -0.3063
3.000000 22.000000     -0.28126
3.000000 23.000000     -0.25069
3.000000 24.000000     -0.21484
3.000000 25.000000     -0.17409
3.000000 26.000000     -0.12902
3.000000 27.000000    -0.080378
3.000000 28.000000    -0.029039
3.000000 29.000000     0.023999
3.000000 30.000000     0.077668
3.000000 31.000000      0.13087
3.000000 32.000000      0.18252
3.000000 33.000000      0.23159
3.000000 34.000000      0.27717
3.000000 35.000000      0.31845
3.000000 36.000000      0.35481
3.000000 37.000000      0.38578
3.000000 38.000000      0.41105
3.000000 39.000000      0.43047
3.000000 40.000000      0.44405
3.000000 41.000000      0.45191
3.000000 42.000000      0.45427
3.000000 43.000000      0.45144
3.000000 44.000000      0.44377
3.000000 45.000000      0.43165
3.000000 46.000000      0.41548
3.000000 47.000000      0.39568
3.000000 48.000000      0.37264
3.000000 49.000000      0.34676
3.000000 50.000000      0.31839
3.000000 51.000000      0.28788
3.000000 52.000000      0.25555
3.000000 53.000000      0.22169
3.000000 54.000000      0.18656
3.000000 55.000000      0.15042
3.000000 56.000000      0.11349
3.000000 57.000000     0.075972
3.000000 58.000000      0.03808
3.000000 59.000000            0

4.000000 0.000000            0
4.000000 1.000000    -0.039316
4.000000 2.000000    -0.078473
4.000000 3.000000     -0.11731
4.000000 4.000000     -0.15564
4.000000 5.000000     -0.19328
4.000000 6.000000     -0.23001
4.000000 7.000000     -0.26558
4.000000 8.000000     -0.29973
4.000000 9.000000     -0.33213
4.000000 10.000000     -0.36243
4.000000 11.000000     -0.39022
4.000000 12.000000     -0.41506
4.000000 13.000000     -0.43646
4.000000 14.000000     -0.45388
4.000000 15.000000     -0.46675
4.000000 16.000000     -0.47448
4.000000 17.000000      -0.4765
4.000000 18.000000     -0.47223
4.000000 19.000000     -0.46116
4.000000 20.000000     -0.44286
4.000000 21.000000     -0.41702
4.000000 22.000000     -0.38352
4.000000 23.000000     -0.34241
4.000000 24.000000     -0.29397
4.000000 25.000000     -0.23875
4.000000 26.000000     -0.17752
4.000000 27.000000     -0.11131
4.000000 28.000000    -0.041327
4.000000 29.000000     0.031033
4.000000 30.000000      0.10428
4.000000 31.000000      0.17688
4.000000 32.000000      0.24731
4.000000 33.000000      0.31417
4.000000 34.000000      0.37615
4.000000 35.000000      0.43219
4.000000 36.000000       0.4814
4.000000 37.000000      0.52316
4.000000 38.000000      0.55708
4.000000 39.000000      0.58298
4.000000 40.000000      0.60091
4.000000 41.000000      0.61105
4.000000 42.000000      0.61375
4.000000 43.000000      0.60944
4.000000 44.000000      0.59861
4.000000 45.000000      0.58182
4.000000 46.000000      0.55964
4.000000 47.000000      0.53261
4.000000 48.000000      0.50129
4.000000 49.000000      0.46621
4.000000 50.000000      0.42786
4.000000 51.000000      0.38669
4.000000 52.000000      0.34313
4.000000 53.000000      0.29756
4.000000 54.000000      0.25035
4.000000 55.000000       0.2018
4.000000 56.000000      0.15222
4.000000 57.000000      0.10189
4.000000 58.000000     0.051067
4.000000 59.000000            0

5.000000 0.000000            0
5.000000 1.000000    -0.049451
5.000000 2.000000    -0.098713
5.000000 3.000000     -0.14759
5.000000 4.000000     -0.19588
5.000000 5.000000     -0.24334
5.000000 6.000000     -0.28971
5.000000 7.000000     -0.33471
5.000000 8.000000     -0.37799
5.000000 9.000000     -0.41916
5.000000 10.000000     -0.45779
5.000000 11.000000     -0.49337
5.000000 12.000000     -0.52534
5.000000 13.000000     -0.55307
5.000000 14.000000     -0.57589
5.000000 15.000000     -0.59305
5.000000 16.000000     -0.60379
5.000000 17.000000     -0.60734
5.000000 18.000000     -0.60292
5.000000 19.000000     -0.58984
5.000000 20.000000     -0.56748
5.000000 21.000000     -0.53541
5.000000 22.000000     -0.49339
5.000000 23.000000     -0.44144
5.000000 24.000000      -0.3799
5.000000 25.000000     -0.30942
5.000000 26.000000     -0.23101
5.000000 27.000000       -0.146
5.000000 28.000000    -0.055994
5.000000 29.000000      0.03718
5.000000 30.000000      0.13154
5.000000 31.000000      0.22504
5.000000 32.000000      0.31569
5.000000 33.000000       0.4016
5.000000 34.000000      0.48109
5.000000 35.000000      0.55274
5.000000 36.000000      0.61543
5.000000 37.000000      0.66838
5.000000 38.000000      0.71112
5.000000 39.000000      0.74348
5.000000 40.000000      0.76555
5.000000 41.000000      0.77765
5.000000 42.000000      0.78024
5.000000 43.000000      0.77394
5.000000 44.000000      0.75941
5.000000 45.000000       0.7374
5.000000 46.000000      0.70863
5.000000 47.000000      0.67383
5.000000 48.000000      0.63371
5.000000 49.000000      0.58895
5.000000 50.000000      0.54015
5.000000 51.000000       0.4879
5.000000 52.000000      0.43272
5.000000 53.000000      0.37509
5.000000 54.000000      0.31545
5.000000 55.000000      0.25421
5.000000 56.000000      0.19171
5.000000 57.000000       0.1283
5.000000 58.000000     0.064298
5.000000 59.000000            0

6.000000 0.000000            0
6.000000 1.000000    -0.059774
6.000000 2.000000     -0.11934
6.000000 3.000000     -0.17847
6.000000 4.000000     -0.23694
6.000000 5.000000     -0.29448
6.000000 6.000000      -0.3508
6.000000 7.000000     -0.40555
6.000000 8.000000     -0.45835
6.000000 9.000000     -0.50874
6.000000 10.000000     -0.55619
6.000000 11.000000     -0.60012
6.000000 12.000000     -0.63984
6.000000 13.000000      -0.6746
6.000000 14.000000     -0.70355
6.000000 15.000000     -0.72577
6.000000 16.000000      -0.7403
6.000000 17.000000     -0.74614
6.000000 18.000000     -0.74228
6.000000 19.000000     -0.72779
6.000000 20.000000     -0.70183
6.000000 21.000000     -0.66375
6.000000 22.000000     -0.61319
6.000000 23.000000     -0.55007
6.000000 24.000000     -0.47476
6.000000 25.000000     -0.38802
6.000000 26.000000     -0.29111
6.000000 27.000000     -0.18569
6.000000 28.000000    -0.073824
6.000000 29.000000     0.042141
6.000000 30.000000      0.15965
6.000000 31.000000      0.27607
6.000000 32.000000      0.38881
6.000000 33.000000      0.49546
6.000000 34.000000      0.59387
6.000000 35.000000      0.68225
6.000000 36.000000      0.75921
6.000000 37.000000      0.82382
6.000000 38.000000      0.87555
6.000000 39.000000      0.91427
6.000000 40.000000      0.94017
6.000000 41.000000      0.95374
6.000000 42.000000      0.95563
6.000000 43.000000      0.94665
6.000000 44.000000      0.92771
6.000000 45.000000      0.89972
6.000000 46.000000      0.86364
6.000000 47.000000      0.82037
6.000000 48.000000      0.77079
6.000000 49.000000      0.71571
6.000000 50.000000      0.65589
6.000000 51.000000      0.59202
6.000000 52.000000      0.52475
6.000000 53.000000      0.45463
6.000000 54.000000      0.38218
6.000000 55.000000      0.30786
6.000000 56.000000      0.23211
6.000000 57.000000      0.15531
6.000000 58.000000     0.077823
6.000000 59.000000            0

7.000000 0.000000            0
7.000000 1.000000    -0.070308
7.000000 2.000000     -0.14039
7.000000 3.000000     -0.21002
7.000000 4.000000     -0.27893
7.000000 5.000000     -0.34685
7.000000 6.000000     -0.41345
7.000000 7.000000     -0.47835
7.000000 8.000000     -0.54112
7.000000 9.000000     -0.60124
7.000000 10.000000     -0.65813
7.000000 11.000000     -0.71108
7.000000 12.000000     -0.75932
7.000000 13.000000     -0.80194
7.000000 14.000000     -0.83793
7.000000 15.000000     -0.86619
7.000000 16.000000     -0.88551
7.000000 17.000000     -0.89463
7.000000 18.000000     -0.89228
7.000000 19.000000      -0.8772
7.000000 20.000000     -0.84828
7.000000 21.000000     -0.80459
7.000000 22.000000     -0.74553
7.000000 23.000000      -0.6709
7.000000 24.000000     -0.58103
7.000000 25.000000      -0.4768
7.000000 26.000000     -0.35971
7.000000 27.000000     -0.23184
7.000000 28.000000    -0.095751
7.000000 29.000000     0.045559
7.000000 30.000000      0.18885
7.000000 31.000000      0.33077
7.000000 32.000000      0.46803
7.000000 33.000000      0.59757
7.000000 34.000000      0.71668
7.000000 35.000000      0.82316
7.000000 36.000000      0.91534
