
0.000000 0.000000            0
0.000000 1.000000            0
0.000000 2.000000            0
0.000000 3.000000            0
0.000000 4.000000            0
0.000000 5.000000            0
0.000000 6.000000            0
0.000000 7.000000            0
0.000000 8.000000            0
0.000000 9.000000            0
0.000000 10.000000            0
0.000000 11.000000            0
0.000000 12.000000            0
0.000000 13.000000            0
0.000000 14.000000            0
0.000000 15.000000            0
0.000000 16.000000            0
0.000000 17.000000            0
0.000000 18.000000            0
0.000000 19.000000            0
0.000000 20.000000            0
0.000000 21.000000            0
0.000000 22.000000            0
0.000000 23.000000            0
0.000000 24.000000            0
0.000000 25.000000            0
0.000000 26.000000            0
0.000000 27.000000            0
0.000000 28.000000            0
0.000000 29.000000            0
0.000000 30.000000            0
0.000000 31.000000            0
0.000000 32.000000            0
0.000000 33.000000            0
0.000000 34.000000            0
0.000000 35.000000            0
0.000000 36.000000            0
0.000000 37.000000            0
0.000000 38.000000            0
0.000000 39.000000            0
0.000000 40.000000            0
0.000000 41.000000            0
0.000000 42.000000            0
0.000000 43.000000            0
0.000000 44.000000            0
0.000000 45.000000            0
0.000000 46.000000            0
0.000000 47.000000            0
0.000000 48.000000            0
0.000000 49.000000            0
0.000000 50.000000            0
0.000000 51.000000            0
0.000000 52.000000            0
0.000000 53.000000            0
0.000000 54.000000            0
0.000000 55.000000            0
0.000000 56.000000            0
0.000000 57.000000            0
0.000000 58.000000            0
0.000000 59.000000            0

1.000000 0.000000            0
1.000000 1.000000   -0.0096335
1.000000 2.000000    -0.019224
1.000000 3.000000    -0.028724
1.000000 4.000000    -0.038089
1.000000 5.000000    -0.047267
1.000000 6.000000    -0.056199
1.000000 7.000000    -0.064823
1.000000 8.000000    -0.073067
1.000000 9.000000     -0.08085
1.000000 10.000000    -0.088085
1.000000 11.000000    -0.094672
1.000000 12.000000      -0.1005
1.000000 13.000000     -0.10546
1.000000 14.000000     -0.10942
1.000000 15.000000     -0.11226
1.000000 16.000000     -0.11385
1.000000 17.000000     -0.11406
1.000000 18.000000     -0.11279
1.000000 19.000000     -0.10993
1.000000 20.000000     -0.10541
1.000000 21.000000    -0.099199
1.000000 22.000000    -0.091294
1.000000 23.000000    -0.081745
1.000000 24.000000    -0.070649
1.000000 25.000000     -0.05816
1.000000 26.000000    -0.044478
1.000000 27.000000    -0.029854
1.000000 28.000000    -0.014575
1.000000 29.000000    0.0010457
1.000000 30.000000     0.016678
1.000000 31.000000     0.031994
1.000000 32.000000     0.046678
1.000000 33.000000     0.060443
1.000000 34.000000      0.07304
1.000000 35.000000     0.084266
1.000000 36.000000     0.093967
1.000000 37.000000      0.10205
1.000000 38.000000      0.10845
1.000000 39.000000      0.11318
1.000000 40.000000      0.11628
1.000000 41.000000       0.1178
1.000000 42.000000      0.11786
1.000000 43.000000      0.11656
1.000000 44.000000      0.11402
1.000000 45.000000      0.11037
1.000000 46.000000      0.10574
1.000000 47.000000      0.10024
1.000000 48.000000     0.094002
1.000000 49.000000     0.087123
1.000000 50.000000       0.0797
1.000000 51.000000     0.071821
1.000000 52.000000     0.063563
1.000000 53.000000     0.054995
1.000000 54.000000     0.046177
1.000000 55.000000     0.037162
1.000000 56.000000     0.027997
1.000000 57.000000     0.018723
1.000000 58.000000    0.0093785
1.000000 59.000000            0

2.000000 0.000000            0
2.000000 1.000000    -0.019311
2.000000 2.000000    -0.038535
2.000000 3.000000    -0.057585
2.000000 4.000000    -0.076367
2.000000 5.000000    -0.094779
2.000000 6.000000     -0.11271
2.000000 7.000000     -0.13003
2.000000 8.000000     -0.14659
2.000000 9.000000     -0.16225
2.000000 10.000000     -0.17682
2.000000 11.000000      -0.1901
2.000000 12.000000     -0.20188
2.000000 13.000000     -0.21192
2.000000 14.000000     -0.21997
2.000000 15.000000     -0.22578
2.000000 16.000000     -0.22908
2.000000 17.000000     -0.22961
2.000000 18.000000     -0.22716
2.000000 19.000000     -0.22151
2.000000 20.000000     -0.21251
2.000000 21.000000     -0.20009
2.000000 22.000000     -0.18423
2.000000 23.000000     -0.16504
2.000000 24.000000     -0.14269
2.000000 25.000000     -0.11751
2.000000 26.000000    -0.089899
2.000000 27.000000    -0.060363
2.000000 28.000000     -0.02949
2.000000 29.000000    0.0020793
2.000000 30.000000     0.033673
2.000000 31.000000     0.064619
2.000000 32.000000     0.094275
2.000000 33.000000      0.12206
2.000000 34.000000      0.14745
2.000000 35.000000      0.17005
2.000000 36.000000      0.18956
2.000000 37.000000      0.20576
2.000000 38.000000      0.21858
2.000000 39.000000        0.228
2.000000 40.000000      0.23412
2.000000 41.000000      0.23708
2.000000 42.000000      0.23708
2.000000 43.000000      0.23435
2.000000 44.000000      0.22914
2.000000 45.000000      0.22172
2.000000 46.000000      0.21233
2.000000 47.000000      0.20123
2.000000 48.000000      0.18864
2.000000 49.000000      0.17479
2.000000 50.000000      0.15986
2.000000 51.000000      0.14402
2.000000 52.000000      0.12744
2.000000 53.000000      0.11024
2.000000 54.000000     0.092552
2.000000 55.000000     0.074475
2.000000 56.000000     0.056102
2.000000 57.000000     0.037516
2.000000 58.000000     0.018792
2.000000 59.000000            0

3.000000 0.000000            0
3.000000 1.000000    -0.029073
3.000000 2.000000    -0.058021
3.000000 3.000000    -0.086714
3.000000 4.000000     -0.11502
3.000000 5.000000     -0.14277
3.000000 6.000000     -0.16982
3.000000 7.000000     -0.19598
3.000000 8.000000     -0.22103
3.000000 9.000000     -0.24474
3.000000 10.000000     -0.26684
3.000000 11.000000     -0.28703
3.000000 12.000000     -0.30499
3.000000 13.000000     -0.32036
3.000000 14.000000     -0.33276
3.000000 15.000000      -0.3418
3.000000 16.000000     -0.34706
3.000000 17.000000     -0.34816
3.000000 18.000000     -0.34473
3.000000 19.000000     -0.33644
3.000000 20.000000     -0.32305
3.000000 21.000000     -0.30441
3.000000 22.000000     -0.28051
3.000000 23.000000     -0.25147
3.000000 24.000000     -0.21758
3.000000 25.000000     -0.17929
3.000000 26.000000     -0.13724
3.000000 27.000000    -0.092211
3.000000 28.000000    -0.045101
3.000000 29.000000    0.0030887
3.000000 30.000000     0.051315
3.000000 31.000000     0.098534
3.000000 32.000000      0.14375
3.000000 33.000000      0.18605
3.000000 34.000000      0.22466
3.000000 35.000000      0.25894
3.000000 36.000000      0.28845
3.000000 37.000000      0.31287
3.000000 38.000000      0.33209
3.000000 39.000000      0.34613
3.000000 40.000000      0.35512
3.000000 41.000000      0.35931
3.000000 42.000000      0.35903
3.000000 43.000000      0.35462
3.000000 44.000000      0.34649
3.000000 45.000000      0.33503
3.000000 46.000000      0.32065
3.000000 47.000000       0.3037
3.000000 48.000000      0.28456
3.000000 49.000000      0.26353
3.000000 50.000000      0.24091
3.000000 51.000000      0.21697
3.000000 52.000000      0.19192
3.000000 53.000000      0.16598
3.000000 54.000000      0.13932
3.000000 55.000000      0.11208
3.000000 56.000000      0.08442
3.000000 57.000000     0.056447
3.000000 58.000000     0.028273
3.000000 59.000000            0

4.000000 0.000000            0
4.000000 1.000000    -0.038961
4.000000 2.000000    -0.077761
4.000000 3.000000     -0.11623
4.000000 4.000000      -0.1542
4.000000 5.000000     -0.19148
4.000000 6.000000     -0.22784
4.000000 7.000000     -0.26304
4.000000 8.000000     -0.29681
4.000000 9.000000     -0.32884
4.000000 10.000000     -0.35876
4.000000 11.000000      -0.3862
4.000000 12.000000      -0.4107
4.000000 13.000000     -0.43178
4.000000 14.000000     -0.44892
4.000000 15.000000     -0.46159
4.000000 16.000000     -0.46921
4.000000 17.000000     -0.47124
4.000000 18.000000     -0.46715
4.000000 19.000000     -0.45646
4.000000 20.000000     -0.43883
4.000000 21.000000     -0.41401
4.000000 22.000000     -0.38193
4.000000 23.000000     -0.34276
4.000000 24.000000     -0.29685
4.000000 25.000000     -0.24484
4.000000 26.000000     -0.18757
4.000000 27.000000     -0.12613
4.000000 28.000000    -0.061792
4.000000 29.000000     0.004062
4.000000 30.000000     0.069965
4.000000 31.000000      0.13445
4.000000 32.000000      0.19613
4.000000 33.000000      0.25374
4.000000 34.000000      0.30619
4.000000 35.000000      0.35262
4.000000 36.000000      0.39241
4.000000 37.000000      0.42518
4.000000 38.000000      0.45079
4.000000 39.000000       0.4693
4.000000 40.000000      0.48092
