1     1     -4.14070622874e-11 -4.14070622874e-11
2     1     -1.37409079558e-10 -1.78816141846e-10
3     1     -6.72151421574e-10 -8.50967563419e-10
4     1     -3.48783462111e-09 -4.33880218452e-09
5     1     -1.61189052722e-08 -2.04577074567e-08
6     1     -7.080161963e-08 -9.12593270867e-08
7     1     -2.77944735089e-07 -3.69204062176e-07
8     1     -1.03614896764e-06 -1.40535302981e-06
9     1     -3.49840393647e-06 -4.90375696628e-06
10     1     -1.12309580935e-05 -1.61347150598e-05
11     1     -3.30003870923e-05 -4.91351021521e-05
12     1     -9.23018842021e-05 -0.000141436986354
13     1     -0.000238313463519 -0.000379750449873
14     1     -0.000586324723959 -0.000966075173833
15     1     -0.00134120256024 -0.00230727773408
16     1     -0.00292700575284 -0.00523428348692
17     1     -0.00597802095171 -0.0112123044386
18     1     -0.0116687672581 -0.0228810716968
19     1     -0.0214606999707 -0.0443417716675
20     1     -0.0378463269068 -0.0821880985742
21     1     -0.0634430713906 -0.145631169965
22     1     -0.102740444698 -0.248371614663
23     1     -0.160616337306 -0.40898795197
24     1     -0.247304793983 -0.656292745952
25     1     -0.380832904898 -1.03712565085
26     1     -0.60890145152 -1.64602710237
27     1     -1.05921571933 -2.7052428217
28     1     -2.12941533149 -4.83465815319
29     1     -5.16534184681 -10
30     1     5.16534184681 -4.83465815319
31     1     2.12941533149 -2.7052428217
32     1     1.05921571933 -1.64602710237
33     1     0.60890145152 -1.03712565085
34     1     0.380832904898 -0.656292745952
35     1     0.247304793983 -0.40898795197
36     1     0.160616337306 -0.248371614663
37     1     0.102740444698 -0.145631169965
38     1     0.0634430713906 -0.0821880985742
39     1     0.0378463269068 -0.0443417716675
40     1     0.0214606999707 -0.0228810716968
41     1     0.0116687672581 -0.0112123044386
42     1     0.00597802095171 -0.00523428348692
43     1     0.00292700575284 -0.00230727773408
44     1     0.00134120256024 -0.000966075173833
45     1     0.000586324723959 -0.000379750449873
46     1     0.000238313463519 -0.000141436986354
47     1     9.23018842021e-05 -4.91351021521e-05
48     1     3.30003870923e-05 -1.61347150598e-05
49     1     1.12309580437e-05 -4.90375701612e-06
50     1     3.49840388663e-06 -1.40535312949e-06
51     1     1.03614840404e-06 -3.69204725452e-07
52     1     2.77944255885e-07 -9.12604695669e-08
53     1     7.07991130868e-08 -2.04613564801e-08
54     1     1.61171573099e-08 -4.34419917019e-09
55     1     3.48238048157e-09 -8.61818688622e-10
56     1     6.69227153127e-10 -1.92591535495e-10
57     1     1.31705535308e-10 -6.08860001872e-11
58     1     3.72526119617e-11 -2.36333882254e-11

1     2     -1.78816141846e-10 -1.37409079558e-10
2     2     -3.3875873859e-10 -3.3875873859e-10
3     2     -1.38068291223e-09 -1.04729022924e-09
4     2     -6.57491422744e-09 -4.13436983557e-09
5     2     -3.13454358043e-08 -1.93609003676e-08
6     2     -1.33660354991e-07 -8.22196357285e-08
7     2     -5.40076083969e-07 -3.44350984609e-07
